Code;Nom CA
01;Araba
02;Albacete
03;Alacant
04;Almeria
05;Àvila
06;Badajoz
07;Illes Ballears
08;Barcelona
09;Burgos
10;Càceres
11;Cadis
12;Castelló
13;Ciutat Real
14;Còrdova
15;A Corunya
16;Conca
17;Girona
18;Granada
19;Guadalajara
20;Guipúscoa
21;Huelva
22;Osca
23;Jaén
24;Lleó
25;Lleida
26;La Rioja
27;Lugo
28;Madrid
29;Màlaga
30;Múrcia
31;Navarra
32;Orense
33;Astúries
34;Palència
35;Les Palmes
36;Pontevedra
37;Salamanca
38;Santa Creu de Tenerife
39;Cantàbria
40;Segòvia
41;Sevilla
42;Sòria
43;Tarragona
44;Terol
45;Toledo
46;València
47;Valladolid
48;Biscaia
49;Zamora
50;Saragossa
51;Ceuta
52;Melilla
VE212;Caracas (Venezuela)
AD700;Escaldes-Engordany (Andorra)
HUBK;Bács-Kiskun (Hungria)
CIPoro;Poro (Costa de Marfil)
CINZi;N'Zi (Costa de Marfil)
CL832;Santiago (Chile)
FR92;Alts del Sena (Francia)
FR66;Pirineus Orientals (Francia)
